wn_synset	babelnet_id	pos	lemmata en	lemmata fr	definition	confidence	dist_from_music	dist_from_entity
n11258214	bn:00059731n	n	Respighi, Ottorino_Respighi	ottorino_respighi	Italian composer remembered for his symphonic poems (1879-1936)	0.552	12	8
n07040820	bn:00059923n	n	overture	ouverture	orchestral music played at the beginning of an opera or oratorio	0.716	1	5
n10742005	bn:00079375n	n	usherette	ouvreuse, ouvreur	a female usher	0.083	13	9
n06688751	bn:00059828n	n	ovation, standing_ovation	ovation_debout, standing_ovation	enthusiastic recognition (especially one accompanied by loud applause)	0.078	6	6
n10885831	bn:00016382n	n	Casals, Pablo_Casals	pablo_casals, pau_casals	an outstanding Spanish cellist noted for his interpretation of Bach's cello suites (1876-1973)	0.362	12	8
n06780309	bn:00013998n	n	parody, lampoon, spoof, sendup, mockery, takeoff, burlesque, travesty, charade, pasquinade, put-on	parodies, parodique, parodie	a composition that imitates or misrepresents somebody's style, usually in a humorous way	0.175	6	6
n07030718	bn:00060770n	n	part, voice	partie_musicale, partie, voix	the melody carried by a particular voice or instrument in polyphonic music	0.596	2	6
n07047165	bn:00060814n	n	partita	partita	(music) an instrumental suite common in the 18th century	0.812	3	7
n06816106	bn:00070987n	n	sheet_music	partition	a musical composition in printed or written form	0.579	2	6
n06815714	bn:00056470n	n	score, musical_score	partition	a written form of a musical composition; parts for different instruments appear on separate staves on large pages	0.556	3	7
n04073208	bn:00067023n	n	release	parution, publication, sortie	merchandise issued for sale or public showing (especially a record or film)	0.554	11	7
n07056265	bn:00060869n	n	paso_doble	paso-doble, paso_doble, pasodoble, paso	music in march time composed for dancing the paso doble; often played at bull fights	0.371	2	6
n06400271	bn:00060882n	n	passage	passage	a section of text; particularly a section of medium length	0.333	2	6
n03897520	bn:00060947n	n	pastiche	pastiche, pastisz	a work of art that imitates the style of some previous work	0.182	12	8
n07047505	bn:00054166n	n	medley, potpourri, pastiche	pastiche, pot-pourri, pot_pourri	a musical composition consisting of a series of songs or other musical pieces from various sources	0.729	2	6
n11301279	bn:00061069n	n	Simon, Paul_Simon	paul_simon	United States singer and songwriter (born in 1942)	0.584	12	8
n06865177	bn:00067374n	n	rest	pause, silence	a musical notation indicating a silence of a specified duration	0.734	7	7
n07056406	bn:00061078n	n	pavane, pavan	pavane	music composed for dancing the pavane	0.583	2	6
n13284973	bn:00061124n	n	payola	payola	a bribe given to a disc jockey to induce him to promote a particular record	0.545	11	9
n06858674	bn:00061230n	n	pedal_point, pedal	pedale, pédale	a sustained bass note	0.924	8	8
n08217557	bn:00061528n	n	percussion_section, percussion, rhythm_section	percussion, rythmique_instrumentale, section_rythmique	the section of a band or orchestra that plays percussion instruments	0.909	9	7
n10415037	bn:00061532n	n	percussionist	percussionniste	a musician who plays percussion instruments	0.696	11	7
n11010697	bn:00040231n	n	Grainger, Percy_Grainger, Percy_Aldridge_Grainger, George_Percy_Aldridge_Grainger	percy_grainger	United States composer (born in Australia) who lived in London and collected English folk songs (1882-1961)	0.505	12	8
n11290984	bn:00061800n	n	Seeger, Pete_Seeger, Peter_Seeger	pete_seeger, peter_seeger	United States folk singer who was largely responsible for the interest in folk music in the 1960s (born in 1919)	0.364	13	9
n10834869	bn:00008632n	n	Barnum, P._T._Barnum, Phineas_Taylor_Barnum	phineas_taylor_barnum	United States showman who popularized the circus (1810-1891)	0.054	14	10
n04064401	bn:00062042n	n	record_player, phonograph	phonographe, tourne-disque, électrophone	machine in which rotating records cause a stylus to vibrate and the vibrations are amplified acoustically or electronically	0.223	12	8
n07045353	bn:00056468n	n	phrase, musical_phrase	phrase	a short musical passage	0.657	3	7
r00343938	bn:00116601r	r	pianissimo, very_softly	pianissimo	a direction in music; to be played very softly	1.0	99	99
n10430665	bn:00062203n	n	pianist, piano_player	pianiste_classique, pianistes, pianiste	a person who plays the piano	0.847	11	7
a03023216	bn:00108580a	a	pianistic	pianistique	skilled at or adapted for the piano	1.0	99	99
n03738066	bn:00054057n	n	mechanical_piano, Pianola, player_piano	piano_mécanique	a mechanically operated piano that uses a roll of perforated paper to activate the keys	0.471	14	10
n07058762	bn:00062215n	n	pibroch	pibroch, pibrock, piobaireachd, pìobaireachd	martial music with variations; to be played by bagpipes	0.533	4	7
n11408041	bn:00062467n	n	Zukerman, Pinchas_Zukerman	pinchas_zukerman	Israeli violinist (born in 1948)	0.508	12	8
n11333762	bn:00061805n	n	Tchaikovsky, Peter_Tchaikovsky, Peter_Ilich_Tchaikovsky, Pyotr_Tchaikovsky, Pyotr_Ilych_Tchaikovsky	piotr_ilitch_tchaïkovski	important Russian composer whose works are noted for their expressive melodies (1840-1893)	0.446	12	8
n06612865	bn:00024606n	n	cut, track	piste	a distinct selection of music from a recording or a compact disc	0.231	4	8
n07024607	bn:00062696n	n	pizzicato	pizzicati, pizzicato, pizz	a note or passage that is played pizzicato	0.806	1	5
n04554406	bn:00080524n	n	washboard	planche_à_laver	device consisting of a corrugated surface to scrub clothes on	0.408	11	7
n00910533	bn:00051448n	n	lip_synchronization, lip_synchronisation, lip_synch, lip_sync	play-back, playback, surjeu, synchronisation_labiale	combining audio and video recording in such a way that the sound is perfectly synchronized with the action that produced it; especially synchronizing the movements of a speaker's lips with the sound of his speech	0.434	11	9
n04064747	bn:00066582n	n	record_sleeve, record_cover	pochette_d'album, pochette	a sleeve for storing a phonograph record	0.768	13	9
n07047373	bn:00075674n	n	symphonic_poem, tone_poem	poème_symphonique	an orchestral composition based on literature or folk tales	0.333	2	6
n06867510	bn:00034102n	n	fermata	point_d'orgue, point_d’orgue	a musical notation (over a note or chord or rest) that indicates it is to be prolonged by an unspecified amount	0.755	7	7
n07056504	bn:00063360n	n	polka	polka	music performed for dancing the polka	0.542	2	6
n07025151	bn:00063473n	n	polytonality, polytonalism	polytonalite, polytonalité	music that uses two or more different keys at the same time	0.829	1	5
n04086446	bn:00067577n	n	revolving_door, revolver	porte_tambour	a door consisting of four orthogonal partitions that rotate about a central pivot; a door designed to equalize the air pressure in tall buildings	0.555	14	10
n06861860	bn:00073805n	n	staff, stave	portees, portee, portée, portées, portée_musicale, portées_musicales, disposition_des_notes_sur_la_portée	(music) the system of five horizontal lines on which the musical notes are written	0.643	7	7
n10455915	bn:00063698n	n	poseur, poser	poseuse, poseur, crâneur, crâneuse	a person who habitually pretends to be something he is not	0.656	12	8
n00319939	bn:00017920n	n	pursuit, chase, pursual, following	poursuite	the act of pursuing in an effort to overtake or capture	0.5	10	8
n10464711	bn:00064104n	n	predecessor	prédécesseur, prédécesseuse, prédécessrice	one who precedes you in time (as in holding a position or office)	1.0	9	5
n07040543	bn:00064150n	n	prelude	prélude, préludes	music that precedes a fugue or introduces an act in an opera	0.805	1	5
n07040693	bn:00018743n	n	chorale_prelude	prélude_de_choral	a composition for organ using a chorale as a basis for variations	0.653	2	6
n07027942	bn:00064169n	n	preparation	preparation, préparation	(music) a note that produces a dissonant chord is first heard in a consonant chord	0.857	2	6
n09795124	bn:00004355n	n	announcer	présentateur	reads news, commercials on radio or television	0.112	10	6
n00546389	bn:00072796n	n	song, strain	pression, tension	the act of singing	0.667	10	8
n06748466	bn:00064647n	n	program, programme	programme	an announcement of the events that will occur as part of a theatrical or sporting event	0.163	6	6
n10487363	bn:00064967n	n	psalmist	psalmiste	a composer of sacred songs	0.173	12	8
n01255549	bn:00045466n	n	psalmody, hymnody	psalmodie	the act of singing psalms or hymns	0.189	11	9
n04991738	bn:00054612n	n	meter, metre, time	pulsation	rhythm as given by division into parts of equal duration	0.756	8	6
n10492627	bn:00065218n	n	puncher	puncher	someone who delivers punches	0.5	10	6
n07065740	bn:00065237n	n	punk_rock, punk	punk_rock	rock music with deliberately offensive lyrics expressing anger and social alienation; in part a reaction against progressive rock	0.72	4	7
n03801760	bn:00056453n	n	music_stand, music_rack	pupitre	a light stand for holding sheets of printed music	0.521	13	9
n08247251	bn:00065609n	n	quartet, quartette	quartette, quatuor	four performers or singers who perform together	0.872	8	6
n08247561	bn:00074691n	n	string_quartet, string_quartette	quatuor_à_cordes	an instrumental quartet with 2 violins and a viola and a cello	0.809	9	7
n08247703	bn:00065731n	n	quintet, quintette	quintette	five performers or singers who perform together	0.881	8	6
n07041795	bn:00065730n	n	quintet, quintette	quintette	a musical composition for five performers	1.0	2	6
n07064315	bn:00065774n	n	rhythm_and_blues, R_and_B	r&b, r'n'b, rhythm'_n'_blues, rhythm'n'blues, rhythm'n_blues, rhythm_&_blues, rhythm_'n'_blues, rhythm_'n_'blues, rhythm_and_blues, rnb, rythm&blues, rythm'n'blues, rythm'n_blues, rythm_and_blues	a combination of blues and jazz that was developed in the United States by Black musicians; an important precursor of rock 'n' roll	0.784	3	6
n11251531	bn:00065821n	n	Rachmaninoff, Sergei_Rachmaninoff, Sergei_Vasilievich_Rachmaninoff, Rachmaninov, Sergei_Rachmaninov, Sergei_Vasilievich_Rachmaninov	rachmaninoff, rachmaninov, rakhmaninov, rakmaninov, serge_rachmaninoff, serge_rachmaninov, serge_vassilievitch_rachmaninov, sergei_rachmaninoff, sergei_rachmaninov, sergei_rakhmaninov, sergei_vasilievich_rachmaninoff, sergey_rachmaninov, serguei_rachmaninov, sergueï_rachmaninov, sergueï_rachmaninoff, sergueï_vassilievitch_rachmaninov, sergueï_vassilievitch_rachmaninoff	composer and piano virtuoso born in Russia (1873-1943)	0.482	12	8
n07060844	bn:00065987n	n	ragtime, rag	rag_time, ragtime_music, ragtime, rag	music with a syncopated melody (usually for the piano)	0.604	2	6
n05045208	bn:00061303n	n	rain, pelting	rain	anything happening rapidly or in quick successive	0.32	9	7
n11361585	bn:00066090n	n	Vaughan_Williams, Ralph_Vaughan_Williams	ralph_vaughan-williams, ralph_vaughan_williams, vaughan_williams	English composer influenced by folk tunes and music of the Tudor period (1872-1958)	0.417	12	8
n10507482	bn:00066191n	n	rapper	rappeuse, rappeur	someone who performs rap music	0.653	12	8
n11295464	bn:00066288n	n	Shankar, Ravi_Shankar	ravi_shankar	Indian sitar player who popularized classical Indian music in the West (born in 1920)	0.379	12	8
n07392982	bn:00069819n	n	scrape, scraping, scratch, scratching	rayure, égratignure	a harsh noise made by scraping	0.229	9	7
n00338821	bn:00066440n	n	rearrangement	réarrangement	changing an arrangement	1.0	12	10
n06893441	bn:00066535n	n	recital	recital, récital, récitals	performance of music or dance especially by soloists	0.724	9	7
n07087346	bn:00066540n	n	recitative	recitativo, récitatif	a vocal passage of narrative text that a singer delivers with natural rhythms of speech	0.69	3	7
n13257982	bn:00068452n	n	royalty	redevance	payment to the holder of a patent or copyright or resource for the right to use their property	0.183	10	8
n00540211	bn:00066769n	n	reel, Scottish_reel	reel	a lively dance of Scottish Highlanders; marked by circular moves and gliding steps	0.621	14	12
n07039238	bn:00066482n	n	recapitulation	réexposition	(music) the section of a composition or movement (especially in sonata form) in which musical themes that were introduced earlier are repeated	1.0	2	6
n07050177	bn:00018783n	n	refrain, chorus	refrain, chœur	the part of a song where a soloist is joined by a group of singers	0.66	1	5
n07066285	bn:00066875n	n	reggae	reggae	popular music originating in the West Indies; repetitive bass riffs and regular chords played on the off beat by a guitar	0.624	3	6
n10516422	bn:00066877n	n	regicide	régicide	someone who commits regicide; the killer of a king	0.25	9	5
n05126849	bn:00066891n	n	register	registre	(music) the timbre that is characteristic of a certain range and manner of production of the human voice or of different pipe organ stops or of different musical instruments	0.73	8	6
n11334317	bn:00067104n	n	Tebaldi, Renata_Tebaldi	renata_tebaldi	Italian operatic soprano (born in 1922)	0.665	13	9
n07030174	bn:00047344n	n	inversion	renversement	(counterpoint) a variation of a melody or part in which ascending intervals are replaced by descending intervals and vice versa	0.762	4	8
n00897026	bn:00028948n	n	rehearsal, dry_run	répétition	a practice session in preparation for a public performance (as of a play or speech or concert)	0.306	10	8
n03121698	bn:00023352n	n	cover, cover_version, cover_song	reprise	a recording of a song that was first recorded or made popular by somebody else	0.871	13	9
n01020770	bn:00062940n	n	playback	reprise	the act of reproducing recorded sound	1.0	13	11
n07033913	bn:00067255n	n	Requiem	requiem	a musical setting for a Mass celebrating the dead	0.855	4	7
n07028221	bn:00067343n	n	resolution	résolution	(music) a dissonant chord is followed by a consonant chord	0.833	2	6
n04989362	bn:00056892n	n	nasality	rhinolalie, nasalité	a quality of the voice that is produced by nasal resonators	0.047	8	6
n07086518	bn:00009396n	n	rhythm, beat, musical_rhythm	rhythme, rithme, rythme, tempo_musical, tempo, temps	the basic rhythmic unit in a piece of music	0.544	7	5
n11267745	bn:00067733n	n	Rodgers, Richard_Rodgers	richard_c._rodgers, richard_charles_rodgers, richard_rodgers, richard_rogers	United States composer of musical comedies (especially in collaboration with Oscar Hammerstein II and with Lorenz Hart) (1902-1979)	0.354	12	8
n10942473	bn:00024937n	n	D'Oyly_Carte, Richard_D'Oyly_Carte	richard_d'oyly_carte	English impresario who brought Gilbert and Sullivan together and produced many of their operettas in London (1844-1901)	0.462	14	10
n11321647	bn:00067736n	n	Strauss, Richard_Strauss	richard_georg_strauss, richard_strauss	German composer of many operas; collaborated with librettist Hugo von Hoffmannsthal to produce several operas (1864-1949)	0.434	12	8
n11313726	bn:00067735n	n	Starr, Ringo_Starr, Starkey, Richard_Starkey	richard_starkey,_jr., ringo_starr	rock star and drummer for the Beatles (born in 1940)	0.58	13	9
n11369834	bn:00067739n	n	Wagner, Richard_Wagner, Wilhelm_Richard_Wagner	richard_wagner, wilhelm_richard_wagner	German composer of operas and inventor of the musical drama in which drama and spectacle and music are fused (1813-1883)	0.31	12	8
n11287016	bn:00068019n	n	Schumann, Robert_Schumann, Robert_Alexander_Schumann	robert_schumann	German romantic composer known for piano music and songs (1810-1856)	0.429	12	8
n07064537	bn:00068078n	n	rockabilly	rockabilly	a fusion of black music and country music that was popular in the 1950s; sometimes described as blues with a country beat	0.712	3	6
n10535706	bn:00068080n	n	rocker	rocker	a teenager or young adult in the 1960s who wore leather jackets and rode motorcycles	0.165	10	6
n07230089	bn:00011623n	n	braggadocio, bluster, rodomontade, rhodomontade	rodomontade	vain and empty boasting	0.917	9	7
n11293805	bn:00068122n	n	Sessions, Roger_Sessions, Roger_Huntington_Sessions	roger_sessions	United States composer who promoted 20th century music (1896-1985)	0.386	12	8
n06380879	bn:00068217n	n	rondeau, rondel	rondeau, rondel	a French verse form of 10 or 13 lines running on two rhymes; the opening phrase is repeated as the refrain of the second and third stanzas	0.336	7	7
n07043968	bn:00068216n	n	rondo, rondeau	rondo	a musical form that is often the last movement of a sonata	0.747	3	6
n07394478	bn:00072445n	n	snore	ronflement	the rattling noise produced when snoring	1.0	9	7
n07388816	bn:00028900n	n	paradiddle, roll, drum_roll	roulement_de_tambour	the sound of a drum (especially a snare drum) beaten rapidly and continuously	0.647	8	6
n09830629	bn:00007806n	n	backpacker, packer	routard	a hiker who wears a backpack	0.167	11	7
n11216100	bn:00059280n	n	Orbison, Roy_Orbison	roy_kelton_orbison, roy_orbison	United States composer and rockabilly tenor popular in the 1950s (1936-1988)	0.546	12	8
n15265423	bn:00068456n	n	rubato	rubato	a flexible tempo; not strictly on the beat	0.879	8	6
n11293334	bn:00068500n	n	Serkin, Rudolf_Serkin	rudolf_serkin	United States concert pianist (born in Czechoslovakia) (1903-1991)	0.551	12	8
n04123123	bn:00068737n	n	sackbut	sacqueboute, sacquebute, saqueboute, saquebute	a medieval musical instrument resembling a trombone	0.719	15	11
n04614844	bn:00082041n	n	zill	sagattes, cymbales_á_doigts	one of a pair of small metallic cymbals worn on the thumb and middle finger; used in belly dancing in rhythm with the dance	0.382	14	10
a00419289	bn:00101429a	a	dirty, soiled, unclean	sale	soiled or likely to soil with dirt or grime	0.8	99	99
n14497763	bn:00027392n	n	dirtiness, uncleanness	saleté	the state of being unsanitary	0.05	8	6
n07056895	bn:00069055n	n	samba	samba	music composed for dancing the samba	0.479	2	6
n10834439	bn:00008533n	n	Barber, Samuel_Barber	samuel_barber	United States composer (1910-1981)	0.547	12	8
n11361423	bn:00069252n	n	Vaughan, Sarah_Vaughan	sarah_lois_vaughan, sarah_vaughan, sarah_vaughn	United States jazz singer noted for her complex bebop phrasing and scat singing (1924-1990)	0.655	12	8
n10701962	bn:00076538n	n	tenor_saxophonist, tenorist	saxophone_tenor, saxophone_ténor	a musician who plays the tenor saxophone	0.773	12	8
n10554243	bn:00069434n	n	saxophonist, saxist	saxophoniste	a musician who plays the saxophone	0.653	11	7
n00547244	bn:00069530n	n	scat, scat_singing	scat	singing jazz; the singer substitutes nonsense syllables for the words of the song and tries to sound like a musical instrument	0.768	4	7
n07009808	bn:00069553n	n	scene	scène, scène_de_ménage	a subdivision of an act of a play	0.5	6	6
n04140064	bn:00069408n	n	saw	scie	hand tool having a toothed blade for cutting	0.576	13	9
n02910701	bn:00013608n	n	bucksaw	scie_à_bûches	a saw that is set in a frame in the shape of an H; used with both hands to cut wood that is held in a sawbuck	0.25	14	10
n07053606	bn:00008435n	n	scolion, banquet_song	scolie	a song (sometimes improvised) sung by guests at a banquet	0.148	3	7
n11091374	bn:00048411n	n	Joplin, Scott_Joplin	scott_joplin	United States composer who was the first creator of ragtime to write down his compositions (1868-1917)	0.458	12	8
n07057095	bn:00069651n	n	schottische	scottische, scottish	music performed for dancing the schottische	0.382	4	7
n07393161	bn:00069842n	n	screech, screeching, shriek, shrieking, scream, screaming	screaming	a high-pitched noise resembling a human cry	0.935	9	7
n07009946	bn:00012062n	n	script, book, playscript	script, scénario, comédie_musicale	a written version of a play or other dramatic composition; used in preparing for a performance	0.312	6	6
n11219502	bn:00060039n	n	Ozawa, Seiji_Ozawa	seiji_osawa, seiji_ozawa	United States conductor (born in Japan in 1935)	0.553	12	8
n10933449	bn:00026803n	n	Diaghilev, Sergei_Diaghilev, Sergei_Pavlovich_Diaghilev	serge_de_diaghilev, serge_diaghilev, serge_diaguilev, sergei_diaghilev, sergueï_pavlovitch_diaguilev	Russian ballet impresario who founded the Russian ballet and later introduced it to the West (1872-1929)	0.35	14	10
n11247002	bn:00064678n	n	Prokofiev, Sergei_Sergeyevich_Prokofiev	serge_prokofiev, sergueï_prokofiev, sergueï_sergueïevitch_prokofiev	Russian composer of ballets and symphonies and operas (1891-1953)	0.515	12	8
n11300465	bn:00070996n	n	Silverstein, Shel_Silverstein, Shelby_Silverstein	shel_silverstein, sheldon_allan_silverstein	United States poet and cartoonist remembered for his stories and poems for children (1932-1999)	0.31	11	7
n04992008	bn:00051209n	n	lilt, swing	shuffle, swing	a jaunty rhythm in music	0.927	8	6
n11269367	bn:00068209n	n	Romberg, Sigmund_Romberg	siegmund_rosenberg, sigmund_romberg	United States composer (born in Hungary) who composed operettas (1887-1951)	0.374	12	8
n04982207	bn:00065703n	n	silence, quiet	silence	the absence of sound	0.123	7	5
a01919428	bn:00110624a	a	silent, soundless, still	silencieux	marked by absence of sound	1.0	99	99
a01919282	bn:00107333a	a	noiseless	silencieux	making no sound	1.0	99	99
n03802973	bn:00056536n	n	mute	silencieux, sourdine	a device used to soften the tone of a musical instrument	0.623	12	8
n11259777	bn:00067719n	n	Rice, Sir_Tim_Rice, Timothy_Miles_Bindon_Rice	sir_tim_rice, tim_rice	English lyricist who frequently worked with Andrew Lloyd Webber (born in 1944)	0.346	11	7
n07066459	bn:00071962n	n	skiffle	skiffle	a style of popular music in the 1950s; based on American folk music and played on guitars and improvised percussion instruments	0.676	3	6
n11067745	bn:00045280n	n	Hurok, Sol_Hurok, Solomon_Hurok	sol_hurok, solomon_isaievich_hurok, solomon_izrailevich_gurkov, соломон_израилевич_гурков	United States impresario who was born in Russia (1888-1974)	0.406	14	10
n06867880	bn:00072710n	n	tonic_solfa, solfa	solfège	a system of solmization using the solfa syllables: do, re, mi, fa, sol, la, ti	0.526	8	8
n01255935	bn:00072712n	n	solmization, solfege, solfeggio	solfege, solfège, représentation_de_la_musique	singing using solfa syllables to denote the notes of the scale of C major	0.55	11	9
n10623650	bn:00072749n	n	soloist	soliste	a musician who performs a solo	0.905	11	7
n06867675	bn:00072743n	n	solmization, solmisation	solmisation	a system of naming the notes of a musical scale by syllables instead of letters	0.381	7	7
n07040939	bn:00072745n	n	solo	solo	a musical composition for one voice or instrument (with or without accompaniment)	0.909	2	6
n05861067	bn:00003604n	n	sum, amount, total	somme, total	a quantity obtained by the addition of a group of numbers	0.191	10	8
n05718254	bn:00007134n	n	sound, auditory_sensation	son	the subjective sensation of hearing something	0.714	10	8
n05719605	bn:00065278n	n	tone, pure_tone	son_musical	a steady sound without overtones	0.384	11	9
n07044276	bn:00062209n	n	piano_sonata	sonate_pour_piano	a sonata for piano	0.923	4	7
n07044088	bn:00072789n	n	sonata	sonates, sonata, sonate	a musical composition of 3 or 4 movements of contrasting forms	0.72	3	6
n07044680	bn:00072791n	n	sonatina	sonatine	a short and simple sonata	0.807	4	7
n11308396	bn:00072792n	n	Sondheim, Stephen_Sondheim	sondheim, stephen_sondheim	United States composer of musicals (born in 1930)	0.311	12	8
n10625546	bn:00072830n	n	soprano	soprane, soprano	a female singer	0.832	12	8
n09938080	bn:00020765n	n	coloratura, coloratura_soprano	soprano_colorature, soprano_léger	a lyric soprano who specializes in coloratura vocal music	0.912	13	9
n05929461	bn:00072882n	n	soubrette	soubrette	a minor female role as a pert flirtatious lady's maid in a comedy	0.634	12	10
n05860975	bn:00075003n	n	subtotal	sous-total	the sum of part of a group of numbers	0.5	11	9
n05128219	bn:00073238n	n	spectrum	spectre	a broad range of related objects or values or qualities or ideas or activities	0.333	9	7
n07281871	bn:00073632n	n	sprechgesang, sprechstimme	sprechgesang, parlé-chanté, parlé/chanté	a style of dramatic vocalization between singing and speaking	0.699	4	4
n07049291	bn:00076787n	n	The_Star-Spangled_Banner	star-spangled_banner, star_spangled_banner, the_star-spangled_banner, the_star_spangled_banner, us_anthem, hymne_américain, hymne_américaine, hymne_national_américain, hymne_national_des_états-unis	a poem written by Francis Scott Key during the War of 1812 was set to music and adopted by Congress in 1931 as the national anthem of the United States	0.276	5	9
n03499907	bn:00043181n	n	Hawaiian_guitar, steel_guitar	steel_guitar	guitar whose steel strings are twanged while being pressed with a movable steel bar for a glissando effect	0.663	14	10
n10975796	bn:00036034n	n	Foster, Stephen_Foster, Stephen_Collins_Foster	stephen_collins_foster, stephen_foster	United States songwriter whose songs embody the sentiment of the South before the American Civil War (1826-1864)	0.378	13	9
n11257031	bn:00066958n	n	Reich, Steve_Reich, Stephen_Michael_Reich	steve_reich	United States composer (born in 1936)	0.609	12	8
n04330998	bn:00074489n	n	Stradavarius, Strad	stradivarius	a violin made by Antonio Stradivari or a member of his family	0.317	15	11
n04990021	bn:00071348n	n	shrillness, stridence, stridency	stridence	having the timbre of a loud high-pitched sound	1.0	8	6
n04064107	bn:00066590n	n	recording_studio	studio_d'enregistrement	studio where tapes and records are recorded	0.466	12	8
n10673669	bn:00034007n	n	suicide, felo-de-se	suicidaire, suicidé	a person who kills himself intentionally	0.059	9	5
n07047011	bn:00075108n	n	suite	suite_de_danses, suite	a musical composition of several movements only loosely connected	0.738	2	6
n07029247	bn:00045803n	n	theme, melodic_theme, musical_theme, idea	sujet, theme, thème, thème_musical	(music) melodic subject of a musical composition	0.782	2	6
n06347811	bn:00075306n	n	supertitle, surtitle	sur-titres, surtitrage, surtitres, surtitre	translation of the words of a foreign opera (or choral work) projected on a screen above the stage	0.421	8	8
n07066042	bn:00048231n	n	swing, swing_music, jive	swing_jazz, swing	a style of jazz played by big bands popular in the 1930s; flowing rhythms but less complex than later styles of jazz	0.791	4	7
n07044760	bn:00075673n	n	symphony, symphonic_music	symphonie	a long and complex sonata for symphony orchestra	0.76	4	7
n10686517	bn:00075675n	n	symphonist	symphoniste	a composer of symphonies	1.0	12	8
n07087223	bn:00075705n	n	syncopation	syncopation	a musical rhythm accenting a normally weak beat	0.667	8	6
n07057385	bn:00075706n	n	syncopation	syncope, chiffrage_traditionnel_des_mesures	music (especially dance music) that has a syncopated rhythm	0.755	1	5
v00170500	bn:00094707v	v	syncopate	syncoper	modify the rhythm by stressing or accenting a weak beat	0.833	99	99
n04376400	bn:00075745n	n	synthesizer, synthesiser	synthé, synthétiseur, logiciel_de_synthèse_vocale	(music) an electronic instrument (usually played with a keyboard) that generates and modifies sounds electronically and can imitate a variety of other musical instruments	0.571	13	9
n06816335	bn:00075811n	n	tablature	tablature	a musical notation indicating the fingering to be used	0.561	7	7
n04387400	bn:00076001n	n	tambourine	tambour_de_basque, tambourin	a shallow drum with a single drumhead and with metallic disks in the sides	0.408	14	10
v01732532	bn:00087400v	v	drum	tambouriner	play a percussion instrument	0.667	99	99
n10036574	bn:00028896n	n	drum_major	tambour-major	the leader of a marching band or drum corps	0.318	12	8
n11400704	bn:00076010n	n	Wynette, Tammy_Wynette, Tammy_Wynetter_Pugh	tammy_wynette, virginia_wynette-pugh, virginia_wynette_pugh, virginia_wynette_richey	United States country singer (1942-1998)	0.556	12	8
n07057829	bn:00076042n	n	tango	tango	music written in duple time for dancing the tango	0.315	2	6
n00533805	bn:00076137n	n	tarantella, tarantelle	tarantella, tarantelle, tarentella, tarentelle	a lively whirling Italian dance for two persons	0.5	11	9
n13978344	bn:00074459n	n	storm, tempest	tempête	a violent commotion or disturbance	1.0	8	6
n15224692	bn:00064472n	n	prison_term, sentence, time	temps, durée_d'emprisonnement, temps_d’emprisonnement	the period of time a prisoner is imprisoned	0.007	8	6
n07086972	bn:00028479n	n	downbeat	temps_fort	the first beat of a musical measure (as the conductor's arm moves downward)	1.0	8	6
n06872676	bn:00076532n	n	tenor, tenor_voice	ténor, ténorino, baryténor	the adult male singing voice above baritone	0.842	5	5
n06544142	bn:00076666n	n	will, testament	testament	a legal document declaring a person's wishes regarding the disposal of their property when they die	0.444	7	7
n11185500	bn:00055683n	n	Monk, Thelonious_Monk, Thelonious_Sphere_Monk	thelonious_monk	United States jazz pianist who was one of the founders of the bebop style (1917-1982)	0.621	12	8
n11338667	bn:00076891n	n	Thespis	thespis	Greek poet who is said to have originated Greek tragedy (sixth century BC)	0.075	11	7
n11329808	bn:00075981n	n	Tallis, Thomas_Tallis	thomas_tallis	English organist and composer of church and secular music; was granted a monopoly in music printing with William Byrd (1505-1585)	0.249	12	8
n03612965	bn:00048981n	n	kettle, kettledrum, tympanum, tympani, timpani	timbales, timbale	a large hemispherical brass or copper percussion instrument with a drumhead that can be tuned by adjusting the tension on it	0.533	13	9
n10734963	bn:00077328n	n	tympanist, timpanist	timbalier, timbalière	a person who plays the kettledrums	0.534	13	9
n04987620	bn:00065539n	n	timbre, timber, quality, tone	timbre	(music) the distinctive property of a complex sound (a voice or noise or musical sound)	0.484	7	5
n08539557	bn:00077337n	n	Tin_Pan_Alley	tin_pan_alley	a city district (originally in New York) where composers and publishers of popular music do business	0.674	12	8
n03912218	bn:00061399n	n	pennywhistle, tin_whistle, whistle	tin_whistle	an inexpensive fipple flute	0.587	15	11
n07044353	bn:00077456n	n	toccata	toccata	a baroque musical composition (usually for a keyboard instrument) with full chords and rapid elaborate runs in a rhythmically free style	0.694	2	6
a02437148	bn:00111973a	a	tonal	tonal	having tonality; i.e. tones and chords organized in relation to one tone such as a keynote or tonic	1.0	99	99
n07397355	bn:00077123n	n	thunder	tonnerre	a booming or crashing noise caused by air expanding along the path of a bolt of lightning	0.5	9	7
n07053884	bn:00077660n	n	torch_song	torch_song	a popular song concerned with disappointment in love	0.794	3	7
n07087641	bn:00055494n	n	transition, modulation	transition	a musical passage moving from one key to another	0.875	3	7
n14004958	bn:00078160n	n	tremolo	tremolo, trémolo	(music) a tremulous effect produced by rapid repetition of a single tone or rapid alternation of two tones	0.722	8	6
n04480853	bn:00078212n	n	triangle	triangle, triángulo	a percussion instrument consisting of a metal bar bent in the shape of an open triangle	0.596	13	9
n06860177	bn:00070859n	n	trill, shake	trille	a note that alternates rapidly with another note a semitone above it	0.857	8	8
